threshold,rec_fake,prec_fake,f1,acc,score,source
0.22,0.9775,0.5855046421084157,0.7323468814384717,0.64275,0.8827367203596179,celebdf_external
0.19,0.985,0.5687066974595842,0.7210834553440701,0.619,0.8824208638360175,celebdf_external
0.2,0.982,0.5744369698742322,0.7248569846835209,0.62725,0.8822392461708802,celebdf_external
0.18,0.987,0.564,0.7178181818181818,0.612,0.8822045454545455,celebdf_external
0.17,0.9895,0.5584085778781038,0.713924963924964,0.6035,0.882006240981241,celebdf_external
0.23,0.974,0.589588377723971,0.7345399698340875,0.648,0.8815349924585218,celebdf_external
0.15000000000000002,0.994,0.5478093138605676,0.706342156688577,0.58675,0.8813605391721443,celebdf_external
0.16,0.9905,0.5535065660799106,0.7101631116687579,0.59575,0.8809407779171896,celebdf_external
0.21000000000000002,0.978,0.5790408525754884,0.7274079583488285,0.6335,0.8809019895872072,celebdf_external
0.14,0.995,0.5425299890948746,0.7021877205363444,0.578,0.8800969301340861,celebdf_external
0.13,0.997,0.537466307277628,0.6984238178633976,0.5695,0.8796059544658494,celebdf_external
0.26,0.965,0.6033135354798375,0.7424504712444702,0.66525,0.8793876178111175,celebdf_external
0.25,0.967,0.5974667902378745,0.7385907962573991,0.65775,0.8789726990643498,celebdf_external
0.24000000000000002,0.9685,0.5936254980079682,0.736082082462474,0.65275,0.8788205206156184,celebdf_external
0.12000000000000001,0.9975,0.5324259407526021,0.6942752740560293,0.56075,0.8780188185140073,celebdf_external
0.27,0.96,0.6077872744539411,0.7443302965691025,0.67025,0.8771075741422757,celebdf_external
0.11,0.998,0.5260938323668951,0.6889886089057645,0.5495,0.8758971522264412,celebdf_external
0.28,0.9545,0.6110755441741357,0.7451209992193599,0.6735,0.87405524980484,celebdf_external
0.29000000000000004,0.9525,0.6143179619477588,0.7469123701235053,0.67725,0.8735780925308764,celebdf_external
0.1,0.9985,0.5191057967247206,0.6830853429108945,0.53675,0.8734713357277237,celebdf_external
0.30000000000000004,0.9505,0.617809554761131,0.748867441402403,0.68125,0.8731668603506009,celebdf_external
0.31,0.948,0.6214355948869223,0.7507424272421303,0.68525,0.8724106068105326,celebdf_external
0.32,0.943,0.6253315649867374,0.751993620414673,0.689,0.8698484051036682,celebdf_external
0.33,0.938,0.6282652377762894,0.7525070196550341,0.6915,0.8669767549137586,celebdf_external
0.33999999999999997,0.932,0.6312224856078564,0.7526751463759338,0.69375,0.8633437865939835,celebdf_external
0.35,0.9285,0.635523613963039,0.7545713124746039,0.698,0.8619678281186509,celebdf_external
0.36,0.924,0.6396677050882659,0.7559828185723052,0.70175,0.8597707046430764,celebdf_external
0.37,0.9195,0.6441330998248687,0.7575695159629249,0.70575,0.8576423789907313,celebdf_external
0.38,0.9145,0.6467468175388967,0.7576636288318145,0.7075,0.8545909072079536,celebdf_external
0.39,0.91,0.6509298998569385,0.7589658048373644,0.711,0.852341451209341,celebdf_external
0.4,0.901,0.6526620789568996,0.7569838269271161,0.71075,0.845970956731779,celebdf_external
0.41000000000000003,0.8965,0.657017222425797,0.7582998519771622,0.71425,0.8437249629942906,celebdf_external
0.42000000000000004,0.8905,0.6606083086053413,0.7585178875638842,0.7165,0.840104471890971,celebdf_external
0.43000000000000005,0.8825,0.6645331325301205,0.7581615120274914,0.7185,0.8350153780068728,celebdf_external
0.44000000000000006,0.875,0.6674294431731502,0.7572479446127218,0.7195,0.8300119861531804,celebdf_external
0.45000000000000007,0.869,0.6710424710424711,0.7572984749455338,0.7215,0.8263246187363834,celebdf_external
0.45999999999999996,0.861,0.6745005875440658,0.7564243356028992,0.72275,0.8210310839007248,celebdf_external
0.47,0.8535,0.6779189833200953,0.7556440903054449,0.724,0.8160860225763613,celebdf_external
0.48,0.846,0.6814337494965768,0.7548516618335936,0.72525,0.8111379154583984,celebdf_external
0.49,0.839,0.6857376379239886,0.7546660670114683,0.72725,0.8067415167528671,celebdf_external
0.5,0.835,0.6889438943894389,0.7549728752260396,0.729,0.8043932188065098,celebdf_external
0.51,0.828,0.6902876198416007,0.7528983859968176,0.72825,0.7992495964992045,celebdf_external
0.52,0.8205,0.6929898648648649,0.7513736263736264,0.7285,0.7940184065934066,celebdf_external
0.53,0.8115,0.6962676962676962,0.7494804894943431,0.72875,0.7877201223735858,celebdf_external
0.54,0.8055,0.7004347826086956,0.7493023255813954,0.7305,0.7839505813953489,celebdf_external
0.55,0.7995,0.7044052863436123,0.7489461358313817,0.732,0.7801115339578455,celebdf_external
0.56,0.794,0.709562109025916,0.7494100991033508,0.7345,0.7769025247758377,celebdf_external
0.5700000000000001,0.788,0.7124773960216998,0.7483380816714149,0.735,0.7727845204178537,celebdf_external
0.58,0.7805,0.7127853881278539,0.745107398568019,0.733,0.7669018496420048,celebdf_external
0.59,0.773,0.7164040778498609,0.7436267436267436,0.7335,0.761706685906686,celebdf_external
0.6,0.7635,0.7169014084507043,0.7394673123486682,0.731,0.754241828087167,celebdf_external
0.61,0.7575,0.7200570342205324,0.7383040935672515,0.7315,0.750101023391813,celebdf_external
0.62,0.752,0.7248192771084337,0.738159509202454,0.73325,0.7466648773006135,celebdf_external
0.63,0.7475,0.7271400778210116,0.7371794871794871,0.7335,0.7435198717948719,celebdf_external
0.64,0.7395,0.7292899408284024,0.7343594836146972,0.7325,0.7375148709036743,celebdf_external
0.65,0.729,0.7345088161209068,0.7317440401505646,0.73275,0.7300610100376411,celebdf_external
0.66,0.7235,0.7360122075279756,0.72970247100353,0.732,0.7259006177508825,celebdf_external
0.67,0.709,0.737006237006237,0.7227319062181448,0.728,0.7143329765545361,celebdf_external
0.6799999999999999,0.6995,0.7406034939121228,0.7194651581383388,0.72725,0.7072662895345847,celebdf_external
0.69,0.689,0.7448648648648649,0.7158441558441558,0.7265,0.699461038961039,celebdf_external
0.7,0.676,0.7477876106194691,0.7100840336134454,0.724,0.6893210084033614,celebdf_external
0.71,0.6635,0.7509903791737408,0.7045394212901513,0.72175,0.6795848553225379,celebdf_external
0.72,0.653,0.7566628041714948,0.7010198604401504,0.7215,0.6718549651100377,celebdf_external
0.73,0.642,0.7593140153755175,0.6957464101869412,0.71925,0.6631616025467353,celebdf_external
0.74,0.6305,0.7623941958887546,0.6902025177887247,0.717,0.6540756294471811,celebdf_external
