perturbation,n,auroc,f1,bal_acc,acc,pr_auc,delta_auroc,delta_f1
clean,1200,0.9334,0.9159,0.8469,0.87,0.9825,0.0,0.0
jpeg_q75,1200,0.9142,0.8985,0.8266,0.845,0.9761,-0.0192,-0.0174
jpeg_q50,1200,0.8832,0.8669,0.8,0.8025,0.9679,-0.0502,-0.049
jpeg_q30,1200,0.8648,0.842,0.7698,0.7692,0.9609,-0.0686,-0.0739
noise_s10,1200,0.8551,0.8471,0.7688,0.775,0.9589,-0.0783,-0.0688
noise_s25,1200,0.686,0.7018,0.6333,0.6033,0.8778,-0.2474,-0.2141
blur_k5,1200,0.892,0.7783,0.7818,0.7033,0.9699,-0.0414,-0.1376
downscale_0_5,1200,0.8979,0.8464,0.8005,0.7783,0.9711,-0.0355,-0.0695
